
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.392997133157, 0.6496, 1.23851185989, 0.890139719486
1, 0.444378261401, 0.68816, 0.887888065338, 0.779889811039
2, 0.473377751452, 0.71632, 0.789633092403, 0.680231283665
3, 0.466942924396, 0.72224, 0.754985339165, 0.670857658386
4, 0.5198053574, 0.74016, 0.716007566929, 0.632248906136
5, 0.613401477299, 0.75776, 0.688660824776, 0.595373595715
6, 0.634325364701, 0.75328, 0.67653181386, 0.612620849609
7, 0.611328734671, 0.74448, 0.654256473303, 0.61512531805
8, 0.63910881865, 0.76992, 0.63343905139, 0.549337700367
9, 0.630556257269, 0.77328, 0.615146332502, 0.540706260443
10, 0.639642996263, 0.7776, 0.606770521402, 0.550314441204
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.36533770623, 0.632, 1.25690745497, 0.910403639317
1, 0.42103262829, 0.67248, 0.912412867546, 0.814697944164
2, 0.447599953807, 0.69792, 0.819207035065, 0.736755125523
3, 0.468249161487, 0.70704, 0.795475571156, 0.724799441338
4, 0.480915477727, 0.72272, 0.741611384392, 0.673493237495
5, 0.498319226275, 0.74848, 0.722947571754, 0.617143489361
6, 0.50560679344, 0.75536, 0.685959677458, 0.60800169611
7, 0.51179764345, 0.75168, 0.680984977484, 0.614514863491
8, 0.541913338104, 0.736, 0.662333011389, 0.625601868629
9, 0.530231235462, 0.75872, 0.652075368404, 0.579736459255
10, 0.503583861178, 0.75456, 0.628318119287, 0.594962741375
11, 0.548852354755, 0.75184, 0.61369133234, 0.587988589287
12, 0.572803354678, 0.76832, 0.612569865704, 0.552904253006
13, 0.581679430611, 0.77248, 0.598853057861, 0.541112900019
14, 0.626098898823, 0.77696, 0.596054927826, 0.543574140072
15, 0.550033328079, 0.78176, 0.593773742437, 0.539605457783
16, 0.563905536771, 0.7808, 0.578862158775, 0.521121933222
17, 0.52847156633, 0.77696, 0.565807345867, 0.543044632673
18, 0.650794195536, 0.78592, 0.567734303951, 0.520523249626
19, 0.678992128945, 0.79232, 0.566858896732, 0.506887838364
20, 0.64251092829, 0.79712, 0.550551110506, 0.490467021465
21, 0.666729108195, 0.79376, 0.552321029186, 0.514925116062
22, 0.660053263153, 0.79808, 0.540054829359, 0.494985934258
23, 0.611953568319, 0.78512, 0.542952579737, 0.500321711302
24, 0.659644761154, 0.79408, 0.520315954924, 0.485443648815
25, 0.690527777771, 0.80688, 0.522425795555, 0.471711347342
26, 0.692224708176, 0.79536, 0.52004826808, 0.490338575363
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.405527626098, 0.66144, 1.25037040901, 0.899125339985
1, 0.401181095122, 0.66592, 0.905174518108, 0.80466396904
2, 0.419523492328, 0.67408, 0.837864527702, 0.765792476654
3, 0.464773524363, 0.69872, 0.794110636234, 0.746379621506
4, 0.574062326196, 0.73216, 0.74563081646, 0.651753693581
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.391421259671, 0.64416, 1.210466887, 0.870399325848
1, 0.40650888442, 0.6704, 0.883975727081, 0.792993937492
2, 0.448059187553, 0.68848, 0.809444049358, 0.792277819157
3, 0.476255036996, 0.71856, 0.772331706524, 0.681215848923
4, 0.549367858205, 0.73264, 0.713067640543, 0.657265654564
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.409109271713, 0.6512, 1.23340951157, 0.950671275616
1, 0.405786325922, 0.67472, 0.925348680019, 0.782777004719
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.409953023486, 0.64528, 1.26021481943, 0.93732292223
